date,location,climate_zone,temperature,rainfall,humidity,wind_speed,air_quality_index
2020-01-01,New York,Temperate,16.7,2.6,65.9,1.7,94
2020-01-08,New York,Temperate,16.0,1.2,50.0,1.5,150
2020-01-15,New York,Temperate,16.1,0.4,41.0,3.6,41
2020-01-22,New York,Temperate,20.3,0.0,31.4,7.4,189
2020-01-29,New York,Temperate,19.0,1.9,52.9,40.9,150
2020-02-05,New York,Temperate,20.3,3.9,70.8,6.0,37
2020-02-12,New York,Temperate,19.9,0.2,71.1,5.8,191
2020-02-19,New York,Temperate,25.4,1.4,32.1,24.0,183
2020-02-26,New York,Temperate,25.0,1.1,42.5,8.4,165
2020-03-04,New York,Temperate,21.8,3.0,86.4,22.5,33
2020-03-11,New York,Temperate,21.7,1.7,61.3,32.5,101
2020-03-18,New York,Temperate,28.3,1.6,65.2,33.6,143
2020-03-25,New York,Temperate,22.1,0.4,30.9,5.5,148
2020-04-01,New York,Temperate,21.9,0.4,30.3,16.9,100
2020-04-08,New York,Temperate,27.7,1.9,85.6,10.5,47
2020-04-15,New York,Temperate,26.7,4.0,67.4,4.0,67
2020-04-22,New York,Temperate,28.7,2.2,65.5,3.2,54
2020-04-29,New York,Temperate,20.4,1.3,37.2,12.5,20
2020-05-06,New York,Temperate,20.4,0.6,32.4,12.4,109
2020-05-13,New York,Temperate,24.8,0.1,36.5,0.3,71
2020-05-20,New York,Temperate,26.9,0.3,66.3,7.8,48
2020-05-27,New York,Temperate,22.3,0.5,34.6,3.4,105
2020-06-03,New York,Temperate,20.4,0.7,36.3,6.1,127
2020-06-10,New York,Temperate,21.1,0.4,83.6,7.8,111
2020-06-17,New York,Temperate,19.5,0.6,68.9,0.0,22
2020-06-24,New York,Temperate,15.3,0.0,60.6,5.4,184
2020-07-01,New York,Temperate,11.6,0.6,40.1,2.5,199
2020-07-08,New York,Temperate,16.5,0.9,88.3,32.8,58
2020-07-15,New York,Temperate,6.8,0.7,32.2,9.4,149
2020-07-22,New York,Temperate,11.3,1.1,32.0,4.2,148
2020-07-29,New York,Temperate,8.6,1.3,89.1,2.8,87
2020-08-05,New York,Temperate,8.0,0.2,52.2,2.8,57
2020-08-12,New York,Temperate,12.5,2.0,62.1,0.9,116
2020-08-19,New York,Temperate,3.3,0.3,60.5,11.9,22
2020-08-26,New York,Temperate,11.9,0.0,60.7,2.6,115
2020-09-02,New York,Temperate,8.7,0.2,86.4,5.1,58
2020-09-09,New York,Temperate,3.3,5.2,82.6,3.0,163
2020-09-16,New York,Temperate,4.3,3.4,63.3,7.5,21
2020-09-23,New York,Temperate,8.1,0.4,46.7,12.1,150
2020-09-30,New York,Temperate,5.5,3.9,54.3,21.9,135
2020-10-07,New York,Temperate,5.8,0.0,36.1,10.9,112
2020-10-14,New York,Temperate,7.8,0.7,48.3,6.6,182
