date,symbol,sector,exchange,open,high,low,close,volume,market_cap,price,daily_return
2020-01-01,AAPL,Technology,NASDAQ,150.0,155.35,148.19,152.01,2846884,491683335.0,152.01,1.34
2020-01-02,AAPL,Technology,NASDAQ,152.01,156.48,147.55,153.23,8980043,916516918.0,153.23,0.8
2020-01-03,AAPL,Technology,NASDAQ,153.23,154.27,153.19,154.27,3678422,349077608.0,154.27,0.68
2020-01-06,AAPL,Technology,NASDAQ,154.27,157.37,150.99,155.36,482492,1105189375.0,155.36,0.7
2020-01-07,AAPL,Technology,NASDAQ,155.36,157.07,151.34,153.85,1555944,166875722.0,153.85,-0.97
2020-01-08,AAPL,Technology,NASDAQ,153.85,158.39,145.95,148.33,14461217,508522614.0,148.33,-3.59
2020-01-09,AAPL,Technology,NASDAQ,148.33,148.62,143.99,144.21,4759713,632443920.0,144.21,-2.78
2020-01-10,AAPL,Technology,NASDAQ,144.21,144.28,133.88,137.04,10013288,692969429.0,137.04,-4.97
2020-01-13,AAPL,Technology,NASDAQ,137.04,141.79,134.54,141.05,4747453,1022622541.0,141.05,2.93
2020-01-14,AAPL,Technology,NASDAQ,141.05,144.26,137.6,141.93,460620,650714591.0,141.93,0.62
2020-01-15,AAPL,Technology,NASDAQ,141.93,143.61,141.14,141.45,10863213,572477632.0,141.45,-0.34
2020-01-16,AAPL,Technology,NASDAQ,141.45,142.6,137.31,138.02,671121,899513301.0,138.02,-2.42
2020-01-17,AAPL,Technology,NASDAQ,138.02,139.64,135.11,138.49,4970853,854915820.0,138.49,0.34
2020-01-20,AAPL,Technology,NASDAQ,138.49,138.51,135.53,136.29,6026495,373029755.0,136.29,-1.59
2020-01-21,AAPL,Technology,NASDAQ,136.29,139.78,133.66,139.47,6955183,676896005.0,139.47,2.34
2020-01-22,AAPL,Technology,NASDAQ,139.47,142.16,135.55,140.76,8671437,668264656.0,140.76,0.93
2020-01-23,AAPL,Technology,NASDAQ,140.76,147.83,140.29,145.06,1331467,216313925.0,145.06,3.05
2020-01-24,AAPL,Technology,NASDAQ,145.06,149.86,143.15,146.51,1714925,1050105324.0,146.51,1.0
2020-01-27,AAPL,Technology,NASDAQ,146.51,148.44,140.95,144.41,4560270,908743266.0,144.41,-1.44
2020-01-28,AAPL,Technology,NASDAQ,144.41,146.61,139.04,139.43,9271832,275172319.0,139.43,-3.45
2020-01-29,AAPL,Technology,NASDAQ,139.43,143.37,133.0,134.62,3954390,750438149.0,134.62,-3.45
