year,country,continent,income_level,population,growth_rate,urban_percentage,life_expectancy,literacy_rate,gdp_per_capita
2000,United States,North America,High Income,1283642419,1.42,77.6,75.0,57.6,12902.0
2001,United States,North America,High Income,1282342630,-0.1,86.3,75.0,84.7,2136.0
2002,United States,North America,High Income,1321107898,1.45,84.1,65.3,58.9,15081.0
2003,United States,North America,High Income,1295896805,0.32,64.1,70.8,64.3,49142.0
2004,United States,North America,High Income,1285550438,0.04,49.0,69.2,72.3,62921.0
2005,United States,North America,High Income,1292617317,0.14,63.4,74.8,52.3,48800.0
2006,United States,North America,High Income,1290581270,0.09,34.2,83.7,97.3,64768.0
2007,United States,North America,High Income,1312476002,0.32,36.3,77.1,71.6,10202.0
2008,United States,North America,High Income,1351049468,0.64,32.2,82.7,62.7,53171.0
2009,United States,North America,High Income,1322262918,0.33,63.8,73.7,59.1,77582.0
2010,United States,North America,High Income,1434554312,1.12,91.1,82.4,79.3,73789.0
2011,United States,North America,High Income,1276661443,-0.05,42.7,61.1,65.9,31400.0
2012,United States,North America,High Income,1324474776,0.26,83.9,68.9,63.8,43644.0
2013,United States,North America,High Income,1290261502,0.04,82.1,61.9,98.4,61893.0
2014,United States,North America,High Income,1308632535,0.14,30.4,80.4,84.6,58456.0
2015,United States,North America,High Income,1515062074,1.11,34.8,69.0,55.7,69117.0
2016,United States,North America,High Income,1472042649,0.86,51.5,61.6,65.2,26352.0
2017,United States,North America,High Income,1530576173,1.04,71.4,82.2,73.1,10008.0
2018,United States,North America,High Income,1538854167,1.01,79.5,74.0,87.8,39757.0
2019,United States,North America,High Income,1462424853,0.69,57.8,60.6,55.3,2999.0
2020,United States,North America,High Income,1530061629,0.88,50.4,72.7,94.5,20319.0
2021,United States,North America,High Income,1424682811,0.5,79.1,65.7,53.8,23535.0
2022,United States,North America,High Income,1304725149,0.07,90.4,80.2,81.0,69781.0
2023,United States,North America,High Income,1675958724,1.17,42.1,82.3,76.4,64691.0
2024,United States,North America,High Income,1759841525,1.32,50.7,62.8,61.2,34455.0
2000,China,Asia,Upper Middle Income,1375863027,0.4,49.8,64.1,76.2,39044.0
2001,China,Asia,Upper Middle Income,1389307152,0.98,47.5,66.1,58.2,17892.0
2002,China,Asia,Upper Middle Income,1396544359,0.75,56.2,61.6,62.4,20127.0
2003,China,Asia,Upper Middle Income,1416867569,0.98,76.3,63.7,98.9,21709.0
2004,China,Asia,Upper Middle Income,1458004398,1.46,56.7,60.8,66.9,50931.0
2005,China,Asia,Upper Middle Income,1442984513,0.96,64.5,71.2,77.1,47619.0
2006,China,Asia,Upper Middle Income,1370707534,-0.06,54.0,66.1,89.4,37889.0
2007,China,Asia,Upper Middle Income,1524029347,1.47,55.9,80.4,89.1,12482.0
2008,China,Asia,Upper Middle Income,1450662973,0.66,75.2,81.5,66.0,18009.0
2009,China,Asia,Upper Middle Income,1505962203,1.01,82.6,68.7,54.7,75272.0
2010,China,Asia,Upper Middle Income,1442756564,0.48,63.7,80.9,83.1,58950.0
2011,China,Asia,Upper Middle Income,1399568970,0.16,65.2,77.4,61.2,14409.0
2012,China,Asia,Upper Middle Income,1639120971,1.47,63.6,66.5,98.8,77251.0
2013,China,Asia,Upper Middle Income,1516039144,0.75,87.4,64.7,63.7,56178.0
2014,China,Asia,Upper Middle Income,1634799548,1.24,85.7,70.1,93.5,68149.0
2015,China,Asia,Upper Middle Income,1692541315,1.39,81.0,76.7,78.5,30096.0
2016,China,Asia,Upper Middle Income,1718149576,1.4,93.3,67.1,65.0,39106.0
2017,China,Asia,Upper Middle Income,1513474493,0.56,94.6,64.4,50.9,39765.0
2018,China,Asia,Upper Middle Income,1401847783,0.1,53.8,78.6,85.3,24991.0
2019,China,Asia,Upper Middle Income,1577479629,0.72,63.1,75.9,62.3,47395.0
2020,China,Asia,Upper Middle Income,1840029892,1.46,61.6,82.7,71.3,28331.0
2021,China,Asia,Upper Middle Income,1659545674,0.9,73.5,81.6,61.3,40186.0
2022,China,Asia,Upper Middle Income,1629637906,0.77,80.0,61.1,98.7,37861.0
2023,China,Asia,Upper Middle Income,1465655107,0.28,87.4,78.7,96.7,26795.0
2024,China,Asia,Upper Middle Income,1642067188,0.74,67.2,84.5,53.7,24803.0
2000,India,Asia,Lower Middle Income,829956639,2.48,50.6,64.2,77.3,74924.0
2001,India,Asia,Lower Middle Income,846025465,1.94,67.1,62.4,80.1,79209.0
2002,India,Asia,Lower Middle Income,829795536,-0.01,63.7,81.9,86.3,55913.0
2003,India,Asia,Lower Middle Income,879687050,1.96,53.4,67.3,89.7,64904.0
2004,India,Asia,Lower Middle Income,917359923,2.53,89.4,72.8,74.6,63964.0
2005,India,Asia,Lower Middle Income,906271379,1.77,75.6,79.9,93.6,27371.0
2006,India,Asia,Lower Middle Income,871353638,0.81,36.1,74.5,51.8,37515.0
2007,India,Asia,Lower Middle Income,914742356,1.4,48.6,74.8,51.5,3469.0
2008,India,Asia,Lower Middle Income,1001719041,2.38,53.4,63.2,75.6,61714.0
